itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
Algari Competitor's Leather Mask,217128,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212664,90,,,,
Algari Competitor's Leather Shoulderpads,217129,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212664,75,,,,
Algari Competitor's Leather Trousers,217131,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,5,219880,1,212664,90,,,,
Algari Competitor's Leather Wristwraps,217133,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,3,219880,1,212664,60,,,,
Algari Competitor's Chain Chainmail,217135,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,5,219880,1,212667,90,,,,
Algari Competitor's Chain Cowl,217136,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212667,90,,,,
Algari Competitor's Chain Cuffs,217141,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,3,219880,1,212667,60,,,,
Algari Competitor's Chain Epaulets,217137,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212667,75,,,,
Algari Competitor's Chain Gauntlets,217140,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212667,75,,,,
Algari Competitor's Chain Girdle,217138,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212667,75,,,,
Algari Competitor's Chain Leggings,217139,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,5,219880,1,212667,90,,,,
Algari Competitor's Chain Treads,217134,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212667,75,,,,
Arathi Leatherworker's Smock,219871,None,gear (profession),400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221758,1,219889,3,212664,80,,
Charged Scrapmaster's Gauntlets,219870,None,gear (profession),400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221754,1,219883,3,212667,50,221856,5
Deep Tracker's Cap,219869,None,gear (profession),400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221757,2,219889,2,212664,80,,
Deep Tracker's Pack,219868,None,gear (profession),400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221757,1,219889,3,212664,80,,
Earthen Forgemaster's Apron,219874,None,gear (profession),400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221754,1,219883,3,212667,80,,
Earthen Jeweler's Cover,219876,None,gear (profession),400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221754,1,219883,3,212664,80,,
Nerubian Alchemist's Hat,219872,None,gear (profession),400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221756,1,219886,3,212664,80,,
Stonebound Herbalist's Pack,219867,None,gear (profession),400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221757,1,219889,2,212664,60,212563,2
Apothecary's Cap,219866,Braevele,gear (profession),200,np.nan,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212674,1,212664,20,,,,,,
Steelsmith's Apron,219873,Braevele,gear (profession),200,np.nan,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212670,1,212667,20,,,,,,
Scrapsmith's Gloves,219864,Braevele,gear (profession),200,np.nan,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212664,50,212667,50,221856,5,,,,
Gemcutter's Apron,219875,Braevele,gear (profession),200,np.nan,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212670,1,212664,20,,,,,,
Hideshaper's Cover,219865,Braevele,gear (profession),200,np.nan,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212664,50,212667,50,,,,,,
Hideseeker's Pack,219862,Braevele,gear (profession),200,np.nan,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212664,10,212670,1,,,,,,
Gardener's Basket,219861,Braevele,gear (profession),200,np.nan,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212670,1,212664,20,210796,10,,,,
Hideseeker's Hat,219863,Braevele,gear (profession),200,np.nan,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212664,40,212667,40,,,,,,
