itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,,,
Energy Redistribution Beacon,221941,Trillithia,embellishment,410,1.8,1,178,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,4,221859,2,221856,4,221865,1,221868,1
Pouch of Pocket Grenades,221935,Trillithia,embellishment,410,1.8,1,178,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,12,221859,4,221856,2,221862,1,221865,1
Adjustable Cogwheel,221920,None,crafting reagent,435,0,1,1,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212508,1,221853,1,221859,1,221868,1,,,,
Impeccable Cogwheel,221917,None,crafting reagent,435,0,1,1,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212511,1,221853,1,221859,1,221868,1,,,,
Overclocked Cogwheel,221914,None,crafting reagent,435,0,1,1,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212505,1,221853,1,221859,1,221868,1,,,,
Serrated Cogwheel,221911,None,crafting reagent,435,0,1,1,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212495,1,221853,1,221859,1,221868,1,,,,
Blasting Bracers,221805,Trillithia,gear (combat),435,np.nan,1,229,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,10,222798,6,221859,9,221856,4,221865,2
Clanking Cuffs,221808,Trillithia,gear (combat),435,np.nan,1,229,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,10,222420,6,221859,9,221856,4,221865,2
Dangerous Distraction Inhibitor,221804,Trillithia,gear (combat),435,np.nan,1,245,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,20,222420,8,221859,12,221868,2,213753,2
Overclocked Idea Generator,221802,Trillithia,gear (combat),435,np.nan,1,245,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,20,219883,4,221859,12,221868,2,213753,2
P.0.W. x2,221969,None,gear (combat),435,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,2,221853,64,221859,12,221856,18,221862,4,221865,2
Studious Brilliance Expeditor,221801,Trillithia,gear (combat),435,np.nan,1,245,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,20,222801,8,221859,12,221868,2,213753,2
Supercharged Thought Enhancer,221803,Trillithia,gear (combat),435,np.nan,1,245,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,20,219886,4,221859,12,221868,2,213753,2
Venting Vambraces,221806,Trillithia,gear (combat),435,np.nan,1,229,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,10,219892,3,221859,9,221856,4,221865,2
Whirring Wristwraps,221807,Trillithia,gear (combat),435,np.nan,1,229,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,10,219889,3,221859,9,221856,4,221865,2
4UT0-41M3R,225646,Trillithia,gear (combat),200,np.nan,1,229,rare,TRUE,TRUE,TRUE,FALSE,TRUE,219150,10,221853,6,221859,1,221856,1,221862,1,,
Acolyte's Goggles,225642,Trillithia,gear (combat),150,np.nan,1,245,rare,TRUE,FALSE,TRUE,TRUE,TRUE,219150,5,221853,4,221859,1,221856,1,,,,
Dredger's Goggles,225645,Trillithia,gear (combat),150,np.nan,1,245,rare,TRUE,FALSE,TRUE,TRUE,TRUE,219150,5,221853,4,221859,1,221856,1,,,,
Spelunker's Goggles,225643,Trillithia,gear (combat),150,np.nan,1,245,rare,TRUE,FALSE,TRUE,TRUE,TRUE,219150,5,221853,4,221859,1,221856,1,,,,
Tracker's Goggles,225644,Trillithia,gear (combat),150,np.nan,1,245,rare,TRUE,FALSE,TRUE,TRUE,TRUE,219150,5,221853,4,221859,1,221856,1,,,,
Aqirite Brainwave Projector,221789,Trillithia,gear (profession),500,np.nan,1,279,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221853,32,221859,8,221856,8,221862,4,221868,1
Aqirite Fisherfiend,221791,Trillithia,gear (profession),500,np.nan,1,279,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221853,24,221859,6,221856,8,221868,3,221862,2
Aqirite Fueled Samophlange,221798,Trillithia,gear (profession),490,np.nan,1,279,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,300,221853,64,221859,16,221856,8,221862,2,221868,4
Aqirite Miner's Headgear,221796,Trillithia,gear (profession),500,np.nan,1,279,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221853,28,221859,8,221856,8,221865,2,221868,2
Lapidary's Aqirite Clamps,221793,Trillithia,gear (profession),490,np.nan,1,279,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,300,212495,1,221853,36,221859,16,221856,8,221865,2
Miner's Aqirite Hoard,221800,Trillithia,gear (profession),500,np.nan,1,279,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221853,24,221859,12,221856,8,221868,3,210933,60
Spring-Loaded Aqirite Fabric Cutters,221787,Trillithia,gear (profession),490,np.nan,1,279,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,300,221853,48,221859,6,221856,8,221865,3,,
Bismuth Brainwave Projector,221788,Trillithia,gear (profession),250,np.nan,1,279,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221853,8,221859,2,221856,4,,,,,,
Bismuth Fisherfiend,221790,Trillithia,gear (profession),250,np.nan,1,279,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221853,4,221859,2,221856,4,,,,,,
Bismuth Fueld Samophlange,221797,Trillithia,gear (profession),200,np.nan,1,279,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,221853,8,221859,2,221856,2,,,,,,
Bismuth Miner's Headgear,221795,Trillithia,gear (profession),250,np.nan,1,279,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221853,8,221859,2,221856,4,,,,,,
Lapidary's Bismuth Clamps,221792,Trillithia,gear (profession),200,np.nan,1,279,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,212505,1,221853,8,221859,2,221856,2,,,,
Miner's Bismuth Hoard,221799,Trillithia,gear (profession),250,np.nan,1,279,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221853,8,221859,2,221856,4,210930,40,,,,
Spring-Loaded Bismuth Fabric Cutters,221786,Trillithia,gear (profession),200,np.nan,1,279,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,221853,8,221859,3,221856,2,,,,,,
Box o' Booms,224586,None,other,505,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,25,221853,12,221859,3,221856,6,221862,3,,
Potion Bomb of Power,221880,Trillithia,consumable,505,1.8,4-5,176,common,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,2,221859,1,221856,2,221862,1,212263,3
Potion Bomb of Recovery,221876,Trillithia,consumable,505,1.8,4-5,176,common,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,2,221859,1,221856,2,221862,1,212242,3
Potion Bomb of Speed,221872,Trillithia,consumable,505,1.8,4-5,176,common,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,2,221859,1,221856,2,221862,1,212266,3
Barrel of Fireworks,219387,Trillithia,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,50,221859,10,221856,24,221865,8,221868,3
Defective Escape Pod,221962,Trillithia,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,75,221859,16,221856,10,221862,6,221868,2
Filmless Camera,221964,Trillithia,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,100,221859,8,221856,6,221862,1,221868,1
Wormhole Generator: Khaz Algar,221966,Trillithia,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,125,221859,16,221856,8,221865,4,221868,4
Stonebound Lantern,219403,Trillithia,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,32,221859,12,221856,6,221868,2,,
Crowd Pummeler 2-30,221967,Trillithia,mount,np.nan,np.nan,1,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE,227769,1000,227770,200,227771,80,227772,50,227773,20,227774,1
Convincingly Realistic Jumper Cables,221953,Trillithia,other,430,1.8,1,176,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,2,221859,1,221856,2,221862,1,,
Irresistible Red Button,221945,Trillithia,other,np.nan,1.8,1-2,np.nan,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,12,221859,4,221856,3,221868,1,,
Pausing Pylon,221949,Trillithia,other,np.nan,1.8,2,np.nan,common,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,8,221859,2,221856,2,,,,
Algari Repair Bot 11O,221957,Trillithia,other,np.nan,1.8,2-3,np.nan,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,8,221859,2,221856,1,221868,1,,
Portable Profession Possibility Projector,221959,Trillithia,other,np.nan,1.8,2,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,12,221859,2,221856,1,221868,1,,
Tinker: Earthen Delivery Drill,221904,Trillithia,crafting reagent,505,1.8,1,176,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,25,221853,24,221859,3,221856,12,221865,3,221868,2
Tinker: Heartseeking Health Injector,221908,Trillithia,crafting reagent,505,1.8,1,176,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,25,221853,24,221859,3,221856,12,221868,4,211878,600
Algari Competitor's Cloth Bracers,217155,None,gear (PvP),215,np.nan,1,1,uncommon,TRUE,FALSE,TRUE,TRUE,FALSE,210221,3,221859,4,221856,4,221862,1,221853,12,,
Algari Competitor's Cloth Goggles,217151,None,gear (PvP),215,np.nan,1,1,uncommon,TRUE,FALSE,TRUE,TRUE,FALSE,210221,5,221859,8,221856,3,213753,2,221853,16,,
Algari Competitor's Leather Bracers,217156,None,gear (PvP),215,np.nan,1,1,uncommon,TRUE,FALSE,TRUE,TRUE,FALSE,210221,3,221859,4,221856,4,221862,1,221853,12,,
Algari Competitor's Leather Goggles,217152,None,gear (PvP),215,np.nan,1,1,uncommon,TRUE,FALSE,TRUE,TRUE,FALSE,210221,5,221859,8,221856,3,213753,2,221853,16,,
Algari Competitor's Mail Bracers,217157,None,gear (PvP),215,np.nan,1,1,uncommon,TRUE,FALSE,TRUE,TRUE,FALSE,210221,3,221859,4,221856,4,221862,1,221853,12,,
Algari Competitor's Mail Goggles,217153,None,gear (PvP),215,np.nan,1,1,uncommon,TRUE,FALSE,TRUE,TRUE,FALSE,210221,5,221859,8,221856,3,213753,2,221853,16,,
Algari Competitor's Plate Bracers,217158,None,gear (PvP),215,np.nan,1,1,uncommon,TRUE,FALSE,TRUE,TRUE,FALSE,210221,3,221859,4,221856,4,221862,1,221853,12,,
Algari Competitor's Plate Goggles,217154,None,gear (PvP),215,np.nan,1,1,uncommon,TRUE,FALSE,TRUE,TRUE,FALSE,210221,5,221859,8,221856,3,213753,2,221853,16,,
Algari Competitor's Rifle,225370,None,gear (PvP),215,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,10,221853,20,221856,4,221862,1,221868,1,,
