itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
Enchant Ring - Radiant Critical Strike,223662,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
Enchant Ring - Radiant Haste,223674,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
Enchant Ring - Radiant Mastery,223677,Linidel,item enhancement,480,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
Enchant Ring - Radiant Versatility,223680,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
Enchant Ring - Cursed Critical Strike,223787,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,10,219946,50,219949,10,219952,1,,
Enchant Ring - Cursed Haste,223790,Linidel,item enhancement,480,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,10,219946,50,219949,10,219952,1,,
Enchant Ring - Cursed Mastery,223793,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,10,219946,50,219949,10,219952,1,,
Enchant Ring - Cursed Versatility,223796,Linidel,item enhancement,480,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,10,219946,50,219949,10,219952,1,,
Enchant Ring - Glimmering Versatility,223671,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
Enchant Ring - Glimmering Mastery,223668,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
Enchant Ring - Glimmering Critical Strike,223659,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
Enchant Ring - Glimmering Haste,223665,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
Enchant Weapon - Authority of Air,223775,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,75,219949,10,219952,2,,
Enchant Weapon - Authority of Fiery Resolve,223778,Linidel,item enhancement,480,np.nan,1,246,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,75,219949,10,219952,2,,
Enchant Weapon - Authority of Radiant Power,223781,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,75,219949,10,219952,2,,
Enchant Weapon - Authority of Storms,223772,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,218338,5,219946,75,219949,10,219952,2
Enchant Weapon - Authority of the Depths,223784,None,item enhancement,390,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,213611,5,219946,75,219949,10,219952,2
Enchant Weapon - Council's Guile,223759,Linidel,item enhancement,480,np.nan,1,176,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,50,219949,5,219952,1,,
Enchant Weapon - Oathsworn's Tenacity,223768,Linidel,item enhancement,480,np.nan,1,176,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,50,219949,5,219952,1,,
Enchant Weapon - Stonebound Artistry,223765,Linidel,item enhancement,480,np.nan,1,176,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,50,219949,5,219952,1,,
Enchant Weapon - Stormrider's Fury,223762,Linidel,item enhancement,480,np.nan,1,176,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,50,219949,5,219952,1,,
Gleeful Glamour - Blood Elf,224300,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Dark Iron Dwarf,224301,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Draenei,224302,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour -  Dwarf,224303,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Earthen,224304,None,other,400,0,1,1,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Gnome,224305,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Goblin,224306,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Highmountain Tauren,224307,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Human,224308,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Kul Tiran,224309,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Lightforged Draenei,224310,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Mag'har Orc,224311,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Mechagnome,224312,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Night Elf,224313,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Nightborne,224314,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Orc,224315,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Pandaren,224316,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Tauren,224317,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Troll,224318,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Undead,224319,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Void Elf,224320,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Vulpera,224321,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Worgen,224322,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Gleeful Glamour - Zandalari Troll,224323,Linidel,other,400,0,1,156,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
Illusory Adornment: Crystal,223747,Linidel,other,400,np.nan,1,156,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,5,219946,3,,,,,,
Illusory Adornment: Radiance,223750,None,other,400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
Illusory Adornment: Runes,223753,Linidel,other,400,np.nan,1,156,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213613,3,219946,3,,,,,,
Illusory Adornment: Shadow,223756,None,other,400,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,5,219946,3,,,,,,
