itemID,itemName,,,,,,,,
222876,Gritty Polishing Cloth,less is more,quality fabric,the perfect loop,extra threads,additional embroidery,,,
222852,Artisan Tailor's Coat,threads of devotion,weighted garments,less is more,robes,the perfect loop,extra threads,,
225729,Algari Weaverline,less is more,quality fabric,the perfect loop,extra threads,,,,
222850,Artisan Alchemist's Robe,threads of devotion,weighted garments,less is more,robes,the perfect loop,extra threads,,
222851,Artisan Chef's Hat,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222849,Artisan Enchanter's Hat,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222848,Artisan Fishing Cap,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222847,Artisan Gardening Hat,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222845,Weavercloth Alchemist's Robe,threads of devotion,weighted garments,less is more,robes,the perfect loop,extra threads,,
222846,Weavercloth Chef's Hat,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222843,Weavercloth Enchanter's Hat,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222842,Weavercloth Fishing Cap,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222841,Weavercloth Gardening Hat,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222844,Weavercloth Tailor's Coat,threads of devotion,weighted garments,less is more,robes,the perfect loop,extra threads,,
222894,Daybreak Spellthread,from dawn until dusk,quality fabric,spellthread,less is more,the perfect loop,extra threads,dawnweave tailoring,
222891,Sunset Spellthread,from dawn until dusk,quality fabric,less is more,spellthread,duskweave tailoring,extra threads,the perfect loop,
222888,Weavercloth Spellthread,less is more,spellthread,quality fabric,the perfect loop,extra threads,,,
222859,Concoctor's Clutch,less is more,quality fabric,the perfect loop,extra threads,,,,
222864,Darkmoon Duffle,less is more,quality fabric,the perfect loop,extra threads,,,,
222866,Exavator's Haversack,less is more,quality fabric,the perfect loop,extra threads,,,,
222865,Gardener's Seed Satchel,less is more,quality fabric,the perfect loop,extra threads,,,,
225936,Hideseeker's Tote,less is more,quality fabric,the perfect loop,extra threads,,,,
222861,Hideshaper's Workbag,less is more,quality fabric,the perfect loop,extra threads,,,,
222860,Ignition Satchel,less is more,quality fabric,the perfect loop,extra threads,,,,
222867,Jeweler's Purse,less is more,quality fabric,the perfect loop,extra threads,,,,
222862,"Magically ""Infinite"" Messenger",less is more,quality fabric,the perfect loop,extra threads,,,,
222863,Prodigy's Toolbox,less is more,quality fabric,the perfect loop,extra threads,,,,
224852,The Severed Satchel,less is more,quality fabric,the perfect loop,extra threads,,,,
222856,Duskweave Bag,less is more,quality fabric,the perfect loop,extra threads,,,,
222854,Dawnweave Reagent Bag,less is more,quality fabric,the perfect loop,extra threads,,,,
222855,Weavercloth Reagent Bag,less is more,quality fabric,the perfect loop,extra threads,,,,
222853,Weavercloth Bag,less is more,quality fabric,the perfect loop,extra threads,,,,
217120,Algari Competitor's Cloth Bands,making a statement,threads of devotion,armbands,less is more,the perfect loop,extra threads,,
217125,Algari Competitor's Cloth  Cloak,weathering wear,threads of devotion,cloaks,less is more,the perfect loop,extra threads,,
217122,Algari Competitor's Cloth  Gloves,threads of devotion,weathering wear,gloves,less is more,extra threads,the perfect loop,,
217121,Algari Competitor's Cloth Hood,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
217117,Algari Competitor's Cloth Leggings,weighted garments,threads of devotion,less is more,leggings,the perfect loop,extra threads,,
217124,Algari Competitor's Cloth Sash,making a statement,threads of devotion,belts,less is more,the perfect loop,extra threads,,
217118,Algari Competitor's Cloth Shoulderpads,making a statement,threads of devotion,mantles,less is more,the perfect loop,extra threads,,
217119,Algari Competitor's Cloth Treads,weathering wear,threads of devotion,less is more,footwear,the perfect loop,extra threads,,
217123,Algari Competitor's Cloth Tunic,threads of devotion,weighted garments,less is more,robes,the perfect loop,extra threads,,
