itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
Zesty Nibblers,222714,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222706,2,222708,2,222699,1,222701,1,,
Angler's Delight,222727,Trillithia,consumable,np.nan,0,6,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222717,1,222716,1,222718,3,,,,
Mycobloom Risotto,222725,Trillithia,consumable,np.nan,0,12,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222706,6,222719,3,222739,3,222716,8,,
Sizzling Honey Roast,222724,Trillithia,consumable,np.nan,0,5,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222697,1,222714,2,222719,2,222723,1,,
Stuffed Cave Peppers,222726,Trillithia,consumable,np.nan,0,6,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222696,5,222715,2,222722,2,,,,
Beledar's Bounty,222728,Trillithia,consumable,np.nan,0,8,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222725,1,222726,1,,,,,,
Empress' Farewell,222729,None,consumable,np.nan,0,5,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222726,1,222724,1,,,,,,
Outsider's Provisions,222731,None,consumable,np.nan,0,6,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222727,1,222725,1,222700,10,,,,
Jester's Board,222730,Trillithia,consumable,np.nan,0,5,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222724,1,222727,1,222700,10,,,,
Everything Stew,222735,None,consumable,np.nan,0,2,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222713,1,222710,1,222712,1,222711,1,,
Feast of the Divine Day,222732,None,consumable,np.nan,0,4,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE,222724,1,222727,1,222711,3,222695,25,,
Feast of the Midnigfht Masquerade,222733,None,consumable,np.nan,0,4,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE,222725,1,222726,1,222713,3,222695,25,,
The Sushi Special,222720,Trillithia,consumable,np.nan,0,3,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE,222727,2,220146,1,220151,1,220153,1,222741,10
Azj-Kahet Special,223971,None,consumable,np.nan,0,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,224762,1,223977,1,,,,,,
Cinder Nectar,222744,Trillithia,consumable,np.nan,0,10,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,224762,3,225912,1,,,,,,
Pep-In-Your-Step,222745,Trillithia,consumable,np.nan,0,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,224762,5,,,,,,,,
Melted Candlebar,222749,Trillithia,other,np.nan,0,10,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,223968,3,225912,1,222701,5,,,,
Rockslide Shake,222747,None,other,np.nan,0,10,np.nan,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,224762,5,223968,3,225912,1,210930,10,,
Sticky Sweet Treat,222748,None,other,np.nan,0,10,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,223968,3,225912,1,222701,5,222697,5,,
Everything-On-A-Stick,223966,None,consumable,np.nan,np.nan,1,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222708,1,223977,1,,,,,,
Ghoulfish Delight,225855,Trillithia,consumable,np.nan,0,5,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,225883,1,222703,1,,,,,,
Little Buddy Biscuits,223970,None,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,223977,1,223968,4,222701,5,,,,
Secret Sauce,223969,None,finishing reagent,np.nan,0,1,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,225876,5,223977,1,224762,1,,,,
