itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,,,
Quick Ruby,213453,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212495,4,212505,2,213219,20,213750,1,,,,
Versatile Ruby,213459,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212495,4,212508,2,213219,20,213750,1,,,,
Deadly Ruby,213462,Nystelil,gem,370,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212495,6,213219,30,213750,1,,,,,,
Deadly Sapphire,213465,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212508,4,212495,2,213219,20,213750,1,,,,
Masterful Sapphire,213471,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212508,4,212511,2,213219,20,213750,1,,,,
Quick Sapphire,213468,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212508,4,212505,2,213219,20,213750,1,,,,
Veratile Sapphire,213474,Nystelil,gem,370,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212508,6,213219,30,213750,1,,,,,,
Culminating Blasphemite,213743,Nystelil,gem,585,0,1,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE,212514,1,213219,24,213750,1,,,,,,
Elusive Blasphemite,213744,Nystelil,gem,585,0,1,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE,212514,1,213219,24,213750,1,,,,,,
Insightful Blasphemite,213738,Nystelil,gem,585,0,1,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE,212514,1,213219,24,213750,1,,,,,,
Cubic Blasphemia,217113,Nystelil,gem,525,0,1,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210939,2,213759,2,213750,1,,,,,,
Algari Emerald Prism,213782,Nystelil,other,370,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212505,2,213759,1,213219,3,,,,,,
Algari Onyx Prism,213788,Nystelil,other,370,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212511,2,213759,1,213219,3,,,,,,
Algari Ruby Prism,213785,Nystelil,other,370,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212495,2,213759,1,213219,3,,,,,,
Algari Sapphire Prism,213791,Nystelil,other,370,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212508,2,213759,1,213219,3,,,,,,
Algari Amber Prism,213779,Nystelil,other,315,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212498,3,213759,1,213219,3,,,,,,
Amulet of Earthen Craftsmanship,215136,None,gear (combat),350,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,212514,1,212505,8,213756,20,,,,
Binding of Binding,215133,None,gear (combat),355,np.nan,1,0,epic,TRUE,FALSE,TRUE,FALSE,TRUE,211296,1,212514,1,212498,8,210939,1,213219,25,,
Fractured Gemstome Locket,215134,Nystelil,gear (combat),355,np.nan,1,0,epic,TRUE,FALSE,TRUE,FALSE,TRUE,211296,1,212514,1,212498,8,213219,25,,,,
Malleable Band,215130,Nystelil,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212498,2,212495,1,213219,4,,,,,,
Malleable Pendant,215131,Nystelil,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212498,2,212508,1,213219,2,,,,,,
Ring of Earthen Craftsmanship,215135,None,gear (combat),350,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,212514,1,212511,8,213756,20,,,,
Cognitive Bloodstone,213748,None,gem,np.nan,0,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,215236,1,213219,12,213750,1,,,,,,
Determined Bloodstone,213749,None,gem,np.nan,0,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,215236,1,213219,12,213750,1,,,,,,
Enduring Bloodstone,213747,None,gem,np.nan,0,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,215236,1,213219,12,213750,1,,,,,,
Algari Competitor's Amulet,215144,None,gear (pvp),130,np.nan,1,0,uncommon,TRUE,TRUE,TRUE,FALSE,TRUE,210221,3,215236,1,210939,1,213756,40,,,,
Algari Competitor's Signet,215137,None,gear (pvp),130,np.nan,1,0,uncommon,TRUE,TRUE,TRUE,FALSE,TRUE,210221,3,215236,1,210939,1,213756,40,,,,
Enchanter's Crystal,215125,Nystelil,gear (profession),400,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,213759,3,213219,16,,,,,,
Extravagant Loupes,215124,Nystelil,gear (profession),400,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,212505,1,210939,3,213759,2,213219,16,,
Forger's Font Inspector,215123,Nystelil,gear (profession),400,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,213753,1,213219,16,,,,,,
Novelist's Specs,215122,Nystelil,gear (profession),400,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,213753,2,213219,16,,,,,,
Incanter's Shard,215121,Nystelil,gear (profession),200,np.nan,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212498,1,219949,1,213219,4,,,,,,
Radiant Loupes,215120,Nystelil,gear (profession),200,np.nan,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212495,1,213756,10,213219,4,,,,,,
Right-Handed Magnifying Glass,215119,Nystelil,gear (profession),200,np.nan,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213753,1,213219,4,,,,,,,,
Storyteller's Glasses,215117,Nystelil,gear (profession),200,np.nan,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213753,2,213219,4,,,,,,,,
Beautification Iris,215147,Nystelil,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213759,5,213219,40,,,,,,,,
Remembrance Stone,215145,Nystelil,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210939,4,3423,1,213756,200,210930,50,210933,30,210936,30
