itemID,itemName,Braevele,Lindinil
244812,Thalassian Alchemist's Mixcap,TRUE,FALSE
244814,Thalassian Gemshaper's  Grand Cover,TRUE,FALSE
244807,Thalassian Herbtender's Cradle,TRUE,FALSE
244811,Thalassian Hideshaper's Regalia,TRUE,FALSE
244813,Thalassian Ironbender's Regalia,TRUE,FALSE
244810,Thalassian Scrapmaster's Gauntlets,TRUE,FALSE
244809,Thalassian Wildseeker's Stridercap,TRUE,FALSE
244808,Thalassian Wildseeker's Workbag,TRUE,FALSE
244627,Apprentice Smith's Apron,TRUE,TRUE
244620,Chemist's Cap,TRUE,TRUE
244629,Apprentice Jeweler's Apron,TRUE,TRUE
244618,Tinker's Handguard,TRUE,TRUE
244619,Hideworker's Cover,TRUE,TRUE
244616,Skinner's Backpack,TRUE,TRUE
244615,Eversong Botanist's Satchel,TRUE,TRUE
244617,Skinner's Cap,TRUE,TRUE
262449,Embossed Sin'dorei Fur Rug,TRUE,TRUE
265791,Haranir Canopy Bed,FALSE,FALSE
253457,Leather-Bound Haranir Wall Shelf,TRUE,TRUE
264244,Plush Haranir Leather Pillow,FALSE,FALSE
262589,Simple Haranir Table,FALSE,FALSE
262600,Stitched Haranir Rug,TRUE,FALSE
243090,Sturdy Haranir Chair,TRUE,FALSE
270058,Rope Lynx Harness,FALSE,FALSE
